region,category,footprint
AT,EUR_HE0111,594.0997925821708
AT,EUR_HE0112,215.44221775136504
AT,EUR_HE0113,76.81447951837251
AT,EUR_HE0114,196.52326577206415
AT,EUR_HE0115,140.24161568298848
AT,EUR_HE0116,671.6729993995592
AT,EUR_HE0117,671.6729993995592
AT,EUR_HE0118,212.67197263786747
AT,EUR_HE0119,602.2168337244893
AT,EUR_HE012,388.4219924153803
AT,EUR_HE021,388.4219924153803
AT,EUR_HE0220,43.737025673852536
AT,EUR_HE031,338.38702362350176
AT,EUR_HE032,201.02309262580908
AT,EUR_HE041,998.9285404244071
AT,EUR_HE042,998.9285404244071
AT,EUR_HE043,849.0879651407154
AT,EUR_HE044,400.1644728005655
AT,EUR_HE0451,1028.073761285691
AT,EUR_HE0452,1838.76552037498
AT,EUR_HE0453,79.05675279963131
AT,EUR_HE0454,462.60416732200673
AT,EUR_HE0455,5159.340745148762
AT,EUR_HE0511,468.65469228211884
AT,EUR_HE0512,438.6700643102401
AT,EUR_HE0513,442.63672443044004
AT,EUR_HE0520,404.48575928285345
AT,EUR_HE053,398.6166843861455
AT,EUR_HE0540,261.84134515757
AT,EUR_HE055,439.3110084893393
AT,EUR_HE0561,933.3985195073831
AT,EUR_HE0562,320.59845677515426
AT,EUR_HE061,1303.1892131555235
AT,EUR_HE062,730.3554035508462
AT,EUR_HE0630,730.3554035508462
AT,EUR_HE071,170.82359096048145
AT,EUR_HE0721,379.7293123950906
AT,EUR_HE0722,1678.3776546338283
AT,EUR_HE0723,162.64038567574838
AT,EUR_HE0724,440.66276985887873
AT,EUR_HE0731,1088.130557803282
AT,EUR_HE0732,622.3982931137797
AT,EUR_HE0733,3097.5573849111506
AT,EUR_HE0734,1146.6456059548132
AT,EUR_HE0735,547.4356750972845
AT,EUR_HE0736,659.658513015104
AT,EUR_HE08,203.35286417216247
AT,EUR_HE091,287.894856983394
AT,EUR_HE092,419.6585206098094
AT,EUR_HE093,282.1329593352723
AT,EUR_HE094,117.72159359638978
AT,EUR_HE095,794.8456469542231
AT,EUR_HE0960,945.0327784747744
AT,EUR_HE10,337.0659771230389
AT,EUR_HE111,792.6603770402425
AT,EUR_HE1120,792.6603770402425
AT,EUR_HE121,689.4105924602618
AT,EUR_HE1231,377.71510651948216
AT,EUR_HE1232,722.9865847925419
AT,EUR_HE1240,16.681107651516346
AT,EUR_HE125,127.93791607740297
AT,EUR_HE1262,126.28719999299737
AT,EUR_HE1270,228.50044715806658
BE,EUR_HE0111,1171.9613149810175
BE,EUR_HE0112,398.7691074114385
BE,EUR_HE0113,167.00526311143696
BE,EUR_HE0114,528.6304074504077
BE,EUR_HE0115,396.3143034315122
BE,EUR_HE0116,1168.3415269054692
BE,EUR_HE0117,1168.3415269054692
BE,EUR_HE0118,498.91295751066696
BE,EUR_HE0119,1087.349731439609
BE,EUR_HE012,668.7973200055218
BE,EUR_HE021,668.7973200055218
BE,EUR_HE0220,282.9750056992986
BE,EUR_HE031,672.3403279897371
BE,EUR_HE032,366.8053561860667
BE,EUR_HE041,735.3452763439453
BE,EUR_HE042,735.3452763439453
BE,EUR_HE043,708.7122896762771
BE,EUR_HE044,361.762335259036
BE,EUR_HE0451,2481.277937316682
BE,EUR_HE0452,4096.76834733479
BE,EUR_HE0453,191.11640549263697
BE,EUR_HE0454,625.86486261026
BE,EUR_HE0455,2725.452169444906
BE,EUR_HE0511,1035.2598904000329
BE,EUR_HE0512,939.7215551720067
BE,EUR_HE0513,778.5189354468815
BE,EUR_HE0520,889.5144459862443
BE,EUR_HE053,587.6511527059798
BE,EUR_HE0540,456.6671362196289
BE,EUR_HE055,863.889138780402
BE,EUR_HE0561,4096.683478434258
BE,EUR_HE0562,862.4789314286201
BE,EUR_HE061,6268.030507989366
BE,EUR_HE062,1067.8173891131435
BE,EUR_HE0630,1067.8173891131435
BE,EUR_HE071,255.436396828931
BE,EUR_HE0721,348.164025255869
BE,EUR_HE0722,1731.862703886594
BE,EUR_HE0723,279.3979797788154
BE,EUR_HE0724,946.497894632419
BE,EUR_HE0731,507.48672696952156
BE,EUR_HE0732,535.9577002833362
BE,EUR_HE0733,2567.3238901697573
BE,EUR_HE0734,2271.595113809347
BE,EUR_HE0735,384.0910396716227
BE,EUR_HE0736,526.4763253170528
BE,EUR_HE08,452.7140574049507
BE,EUR_HE091,317.5935721265479
BE,EUR_HE092,527.4563500596139
BE,EUR_HE093,613.8390680207693
BE,EUR_HE094,232.76225876584147
BE,EUR_HE095,418.6393966921958
BE,EUR_HE0960,1130.4404514802054
BE,EUR_HE10,437.8429584391947
BE,EUR_HE111,733.5332462511517
BE,EUR_HE1120,733.5332462511517
BE,EUR_HE121,1010.5209099252141
BE,EUR_HE1231,753.9468719132074
BE,EUR_HE1232,505.3200227151549
BE,EUR_HE1240,30.09053608268253
BE,EUR_HE125,251.3847116183763
BE,EUR_HE1262,210.35660664598856
BE,EUR_HE1270,416.26738651507213
BG,EUR_HE0111,209.00290270847555
BG,EUR_HE0112,68.82266746583308
BG,EUR_HE0113,20.889503271100008
BG,EUR_HE0114,73.97438198006975
BG,EUR_HE0115,55.39287812689451
BG,EUR_HE0116,274.3126278215934
BG,EUR_HE0117,274.3126278215934
BG,EUR_HE0118,75.4234742638339
BG,EUR_HE0119,212.6559633865225
BG,EUR_HE012,135.2865294689697
BG,EUR_HE021,135.2865294689697
BG,EUR_HE0220,142.56823693521014
BG,EUR_HE031,103.03664619382167
BG,EUR_HE032,58.90440169780305
BG,EUR_HE041,174.96184282965035
BG,EUR_HE042,174.96184282965035
BG,EUR_HE043,271.9712514112321
BG,EUR_HE044,367.4659951933766
BG,EUR_HE0451,870.9537873196595
BG,EUR_HE0452,1987.698661126782
BG,EUR_HE0453,39.83079800828652
BG,EUR_HE0454,65.76183602882097
BG,EUR_HE0455,6969.834863500465
BG,EUR_HE0511,95.64988505233677
BG,EUR_HE0512,108.6685734295086
BG,EUR_HE0513,98.3713335060535
BG,EUR_HE0520,133.2890252562794
BG,EUR_HE053,119.82699223884072
BG,EUR_HE0540,78.49962805606314
BG,EUR_HE055,115.09586929535884
BG,EUR_HE0561,328.2345302030853
BG,EUR_HE0562,157.84956200487477
BG,EUR_HE061,471.61192266069594
BG,EUR_HE062,35.329153992098696
BG,EUR_HE0630,35.329153992098696
BG,EUR_HE071,26.651465732543112
BG,EUR_HE0721,57.89596841367311
BG,EUR_HE0722,278.5089917277451
BG,EUR_HE0723,42.724134902508595
BG,EUR_HE0724,208.5842295108311
BG,EUR_HE0731,158.50862194514295
BG,EUR_HE0732,165.67477316995877
BG,EUR_HE0733,368.26397404396033
BG,EUR_HE0734,212.8841201615594
BG,EUR_HE0735,170.3415800342825
BG,EUR_HE0736,189.69833549901387
BG,EUR_HE08,44.66233140810648
BG,EUR_HE091,58.55438486001937
BG,EUR_HE092,56.01752769656495
BG,EUR_HE093,61.69619656942942
BG,EUR_HE094,31.1232061451603
BG,EUR_HE095,57.555784317038395
BG,EUR_HE0960,107.64389452105802
BG,EUR_HE10,47.970069696089205
BG,EUR_HE111,60.530764386425034
BG,EUR_HE1120,60.530764386425034
BG,EUR_HE121,43.00683587048054
BG,EUR_HE1231,73.75351819658773
BG,EUR_HE1232,71.4970724468785
BG,EUR_HE1240,0.9956909539430226
BG,EUR_HE125,63.77025329674602
BG,EUR_HE1262,212.38385294933147
BG,EUR_HE1270,55.02641768920556
CY,EUR_HE0111,45.820370679292566
CY,EUR_HE0112,15.611761439700482
CY,EUR_HE0113,11.923217662501553
CY,EUR_HE0114,17.088095848407395
CY,EUR_HE0115,14.031570936547316
CY,EUR_HE0116,70.96861083763922
CY,EUR_HE0117,70.96861083763922
CY,EUR_HE0118,16.77530664266001
CY,EUR_HE0119,41.829255495076225
CY,EUR_HE012,30.25066731756699
CY,EUR_HE021,30.25066731756699
CY,EUR_HE0220,22.950206743806998
CY,EUR_HE031,29.298822216886535
CY,EUR_HE032,14.817915345053605
CY,EUR_HE041,18.365368559993343
CY,EUR_HE042,18.365368559993343
CY,EUR_HE043,42.248089333327
CY,EUR_HE044,23.74549775137116
CY,EUR_HE0451,70.4710645028009
CY,EUR_HE0452,37.769938130133504
CY,EUR_HE0453,33.27568502856664
CY,EUR_HE0454,63.672775917930345
CY,EUR_HE0455,208.38202854470217
CY,EUR_HE0511,63.23288426185029
CY,EUR_HE0512,49.31916343910679
CY,EUR_HE0513,49.222125154690545
CY,EUR_HE0520,36.741671953092556
CY,EUR_HE053,48.61731216362821
CY,EUR_HE0540,34.58282587960907
CY,EUR_HE055,55.504189109526706
CY,EUR_HE0561,229.87519925557368
CY,EUR_HE0562,14.558929991339621
CY,EUR_HE061,354.94392064126447
CY,EUR_HE062,40.50224792230252
CY,EUR_HE0630,40.50224792230252
CY,EUR_HE071,12.6373048501186
CY,EUR_HE0721,36.872585789121416
CY,EUR_HE0722,186.62024258318453
CY,EUR_HE0723,13.744791897213757
